problem_id,model,prompt_detail,temp,i,levenshtein distance
1,gpt3.5,H,0.1,82,14
1,gpt3.5,H,0.1,83,14
1,gpt3.5,H,0.1,84,14
1,gpt3.5,H,0.1,85,14
1,gpt3.5,H,0.1,86,14
1,gpt3.5,H,0.1,87,14
1,gpt3.5,H,0.1,88,14
1,gpt3.5,H,0.1,89,14
1,gpt3.5,H,0.1,90,14
1,gpt3.5,H,0.1,92,14
1,gpt3.5,H,0.1,93,14
1,gpt3.5,H,0.1,94,14
1,gpt3.5,H,0.1,95,14
1,gpt3.5,H,0.1,96,14
1,gpt3.5,H,0.1,97,14
1,gpt3.5,H,0.1,98,14
1,gpt3.5,H,0.1,99,14
1,gpt3.5,H,0.3,0,14
1,gpt3.5,H,0.3,3,14
1,gpt3.5,H,0.3,4,14
1,gpt3.5,H,0.3,5,14
1,gpt3.5,H,0.3,7,14
1,gpt3.5,H,0.3,8,14
1,gpt3.5,H,0.3,9,14
1,gpt3.5,H,0.3,10,14
1,gpt3.5,H,0.3,11,14
1,gpt3.5,H,0.3,13,14
1,gpt3.5,H,0.3,14,14
1,gpt3.5,H,0.3,15,14
1,gpt3.5,H,0.3,17,14
1,gpt3.5,H,0.3,18,14
1,gpt3.5,H,0.3,19,14
1,gpt3.5,H,0.3,20,14
1,gpt3.5,H,0.3,21,14
1,gpt3.5,H,0.3,22,14
1,gpt3.5,H,0.3,23,14
1,gpt3.5,H,0.3,25,14
1,gpt3.5,H,0.3,26,14
1,gpt3.5,H,0.3,28,14
1,gpt3.5,H,0.3,29,14
1,gpt3.5,H,0.3,30,14
1,gpt3.5,H,0.3,31,14
1,gpt3.5,H,0.3,34,14
1,gpt3.5,H,0.3,36,14
1,gpt3.5,H,0.3,37,14
1,gpt3.5,H,0.3,38,14
1,gpt3.5,H,0.3,40,14
1,gpt3.5,H,0.3,43,14
1,gpt3.5,H,0.3,46,14
1,gpt3.5,H,0.3,47,14
1,gpt3.5,H,0.3,48,14
1,gpt3.5,H,0.3,49,14
1,gpt3.5,H,0.3,51,14
1,gpt3.5,H,0.3,52,14
1,gpt3.5,H,0.3,53,14
1,gpt3.5,H,0.3,55,14
1,gpt3.5,H,0.3,56,14
1,gpt3.5,H,0.3,57,14
1,gpt3.5,H,0.3,58,14
1,gpt3.5,H,0.3,59,14
1,gpt3.5,H,0.3,60,14
1,gpt3.5,H,0.3,62,14
1,gpt3.5,H,0.3,63,14
1,gpt3.5,H,0.3,64,14
1,gpt3.5,H,0.3,65,14
1,gpt3.5,H,0.3,67,14
1,gpt3.5,H,0.3,68,14
1,gpt3.5,H,0.3,69,14
1,gpt3.5,H,0.3,70,14
1,gpt3.5,H,0.3,71,14
1,gpt3.5,H,0.3,72,14
1,gpt3.5,H,0.3,73,14
1,gpt3.5,H,0.3,74,14
1,gpt3.5,H,0.3,75,14
1,gpt3.5,H,0.3,77,14
1,gpt3.5,H,0.3,78,14
1,gpt3.5,H,0.3,79,14
1,gpt3.5,H,0.3,81,14
1,gpt3.5,H,0.3,82,14
1,gpt3.5,H,0.3,83,14
1,gpt3.5,H,0.3,84,14
1,gpt3.5,H,0.3,85,14
1,gpt3.5,H,0.3,86,14
1,gpt3.5,H,0.3,87,14
1,gpt3.5,H,0.3,90,14
1,gpt3.5,H,0.3,92,14
1,gpt3.5,H,0.3,93,14
1,gpt3.5,H,0.3,94,14
1,gpt3.5,H,0.3,95,14
1,gpt3.5,H,0.3,96,14
1,gpt3.5,H,0.3,97,14
1,gpt3.5,H,0.3,99,14
1,gpt3.5,H,0.5,0,14
1,gpt3.5,H,0.5,3,14
1,gpt3.5,H,0.5,4,14
1,gpt3.5,H,0.5,5,482
1,gpt3.5,H,0.5,7,14
1,gpt3.5,H,0.5,8,14
1,gpt3.5,H,0.5,9,14
1,gpt3.5,H,0.5,10,14
1,gpt3.5,H,0.5,11,14
1,gpt3.5,H,0.5,13,14
1,gpt3.5,H,0.5,14,14
1,gpt3.5,H,0.5,15,14
1,gpt3.5,H,0.5,17,14
1,gpt3.5,H,0.5,18,14
1,gpt3.5,H,0.5,19,14
1,gpt3.5,H,0.5,20,14
1,gpt3.5,H,0.5,21,14
1,gpt3.5,H,0.5,22,14
1,gpt3.5,H,0.5,23,14
1,gpt3.5,H,0.5,25,14
1,gpt3.5,H,0.5,26,14
1,gpt3.5,H,0.5,28,118
1,gpt3.5,H,0.5,29,14
1,gpt3.5,H,0.5,30,14
1,gpt3.5,H,0.5,31,14
1,gpt3.5,H,0.5,34,14
1,gpt3.5,H,0.5,36,14
1,gpt3.5,H,0.5,37,14
1,gpt3.5,H,0.5,38,14
1,gpt3.5,H,0.5,43,14
1,gpt3.5,H,0.5,45,111
1,gpt3.5,H,0.5,46,14
1,gpt3.5,H,0.5,47,14
1,gpt3.5,H,0.5,48,14
1,gpt3.5,H,0.5,49,14
1,gpt3.5,H,0.5,51,14
1,gpt3.5,H,0.5,52,14
1,gpt3.5,H,0.5,53,14
1,gpt3.5,H,0.5,54,75
1,gpt3.5,H,0.5,55,14
1,gpt3.5,H,0.5,56,14
1,gpt3.5,H,0.5,57,14
1,gpt3.5,H,0.5,58,14
1,gpt3.5,H,0.5,60,14
1,gpt3.5,H,0.5,62,14
1,gpt3.5,H,0.5,63,14
1,gpt3.5,H,0.5,65,14
1,gpt3.5,H,0.5,68,14
1,gpt3.5,H,0.5,69,14
1,gpt3.5,H,0.5,70,14
1,gpt3.5,H,0.5,71,14
1,gpt3.5,H,0.5,72,14
1,gpt3.5,H,0.5,74,14
1,gpt3.5,H,0.5,75,14
1,gpt3.5,H,0.5,77,14
1,gpt3.5,H,0.5,79,14
1,gpt3.5,H,0.5,81,14
1,gpt3.5,H,0.5,83,14
1,gpt3.5,H,0.5,84,14
1,gpt3.5,H,0.5,85,14
1,gpt3.5,H,0.5,87,14
1,gpt3.5,H,0.5,92,14
1,gpt3.5,H,0.5,93,14
1,gpt3.5,H,0.5,95,14
1,gpt3.5,H,0.5,96,14
1,gpt3.5,H,0.5,97,14
1,gpt3.5,H,0.5,99,14
1,gpt3.5,H,0.7,0,14
1,gpt3.5,H,0.7,3,14
1,gpt3.5,H,0.7,4,14
1,gpt3.5,H,0.7,5,428
1,gpt3.5,H,0.7,7,14
1,gpt3.5,H,0.7,8,14
1,gpt3.5,H,0.7,9,14
1,gpt3.5,H,0.7,10,14
1,gpt3.5,H,0.7,11,14
1,gpt3.5,H,0.7,13,14
1,gpt3.5,H,0.7,14,14
1,gpt3.5,H,0.7,15,14
1,gpt3.5,H,0.7,17,14
1,gpt3.5,H,0.7,18,14
1,gpt3.5,H,0.7,19,14
1,gpt3.5,H,0.7,20,14
1,gpt3.5,H,0.7,21,14
1,gpt3.5,H,0.7,22,14
1,gpt3.5,H,0.7,23,14
1,gpt3.5,H,0.7,25,14
1,gpt3.5,H,0.7,26,565
1,gpt3.5,H,0.7,28,742
1,gpt3.5,H,0.7,30,14
1,gpt3.5,H,0.7,31,14
1,gpt3.5,H,0.7,34,14
1,gpt3.5,H,0.7,36,14
1,gpt3.5,H,0.7,37,14
1,gpt3.5,H,0.7,38,14
1,gpt3.5,H,0.7,43,14
1,gpt3.5,H,0.7,45,111
1,gpt3.5,H,0.7,46,14
1,gpt3.5,H,0.7,47,14
1,gpt3.5,H,0.7,48,14
1,gpt3.5,H,0.7,49,14
1,gpt3.5,H,0.7,51,14
1,gpt3.5,H,0.7,52,14
1,gpt3.5,H,0.7,53,14
1,gpt3.5,H,0.7,54,75
1,gpt3.5,H,0.7,55,14
1,gpt3.5,H,0.7,56,14
1,gpt3.5,H,0.7,57,14
1,gpt3.5,H,0.7,58,14
1,gpt3.5,H,0.7,60,14
1,gpt3.5,H,0.7,63,608
1,gpt3.5,H,0.7,68,14
1,gpt3.5,H,0.7,69,14
1,gpt3.5,H,0.7,70,14
1,gpt3.5,H,0.7,71,14
1,gpt3.5,H,0.7,72,14
1,gpt3.5,H,0.7,74,14
1,gpt3.5,H,0.7,75,14
1,gpt3.5,H,0.7,77,14
1,gpt3.5,H,0.7,79,14
1,gpt3.5,H,0.7,81,14
1,gpt3.5,H,0.7,83,14
1,gpt3.5,H,0.7,84,14
1,gpt3.5,H,0.7,85,14
1,gpt3.5,H,0.7,87,14
1,gpt3.5,H,0.7,92,14
1,gpt3.5,H,0.7,93,14
1,gpt3.5,H,0.7,95,546
1,gpt3.5,H,0.7,96,14
1,gpt3.5,H,0.7,97,14
1,gpt3.5,H,0.7,99,14
1,gpt3.5,H,1.0,0,14
1,gpt3.5,H,1.0,3,15
1,gpt3.5,H,1.0,5,84
1,gpt3.5,H,1.0,7,14
1,gpt3.5,H,1.0,8,14
1,gpt3.5,H,1.0,9,14
1,gpt3.5,H,1.0,10,14
1,gpt3.5,H,1.0,11,14
1,gpt3.5,H,1.0,13,14
1,gpt3.5,H,1.0,14,79
1,gpt3.5,H,1.0,15,14
1,gpt3.5,H,1.0,16,62
1,gpt3.5,H,1.0,17,14
1,gpt3.5,H,1.0,18,14
1,gpt3.5,H,1.0,19,14
1,gpt3.5,H,1.0,20,14
1,gpt3.5,H,1.0,21,14
1,gpt3.5,H,1.0,22,14
1,gpt3.5,H,1.0,23,14
1,gpt3.5,H,1.0,25,14
1,gpt3.5,H,1.0,26,585
1,gpt3.5,H,1.0,28,826
1,gpt3.5,H,1.0,30,7
1,gpt3.5,H,1.0,31,14
1,gpt3.5,H,1.0,34,14
1,gpt3.5,H,1.0,36,14
1,gpt3.5,H,1.0,37,14
1,gpt3.5,H,1.0,38,14
1,gpt3.5,H,1.0,43,14
1,gpt3.5,H,1.0,45,78
1,gpt3.5,H,1.0,46,14
1,gpt3.5,H,1.0,47,14
1,gpt3.5,H,1.0,48,14
1,gpt3.5,H,1.0,49,68
1,gpt3.5,H,1.0,51,1343
1,gpt3.5,H,1.0,52,14
1,gpt3.5,H,1.0,53,1140
1,gpt3.5,H,1.0,54,75
1,gpt3.5,H,1.0,55,14
1,gpt3.5,H,1.0,56,14
1,gpt3.5,H,1.0,57,14
1,gpt3.5,H,1.0,58,14
1,gpt3.5,H,1.0,60,14
1,gpt3.5,H,1.0,63,999
1,gpt3.5,H,1.0,68,14
1,gpt3.5,H,1.0,69,14
1,gpt3.5,H,1.0,70,14
1,gpt3.5,H,1.0,71,14
1,gpt3.5,H,1.0,72,14
1,gpt3.5,H,1.0,73,882
1,gpt3.5,H,1.0,74,14
1,gpt3.5,H,1.0,75,14
1,gpt3.5,H,1.0,77,14
1,gpt3.5,H,1.0,78,71
1,gpt3.5,H,1.0,79,14
1,gpt3.5,H,1.0,81,14
1,gpt3.5,H,1.0,83,14
1,gpt3.5,H,1.0,84,14
1,gpt3.5,H,1.0,85,14
1,gpt3.5,H,1.0,87,14
1,gpt3.5,H,1.0,92,14
1,gpt3.5,H,1.0,95,1000
1,gpt3.5,H,1.0,96,14
1,gpt3.5,H,1.0,97,14
1,gpt3.5,H,1.0,99,14
2,gpt3.5,L,0.3,5,703
2,gpt3.5,L,0.3,14,62
2,gpt3.5,L,0.3,41,62
2,gpt3.5,L,0.5,5,62
2,gpt3.5,L,0.5,7,340
2,gpt3.5,L,0.5,14,304
2,gpt3.5,L,0.5,15,443
2,gpt3.5,L,0.5,20,62
2,gpt3.5,L,0.5,22,375
2,gpt3.5,L,0.5,23,62
2,gpt3.5,L,0.5,24,774
2,gpt3.5,L,0.5,25,62
2,gpt3.5,L,0.5,27,62
2,gpt3.5,L,0.5,41,62
2,gpt3.5,L,0.5,57,778
2,gpt3.5,L,0.5,65,655
2,gpt3.5,L,0.5,67,459
2,gpt3.5,L,0.5,73,285
2,gpt3.5,L,0.5,78,543
2,gpt3.5,L,0.5,84,559
2,gpt3.5,L,0.5,85,62
2,gpt3.5,L,0.7,5,10
2,gpt3.5,L,0.7,7,413
2,gpt3.5,L,0.7,9,183
2,gpt3.5,L,0.7,12,62
2,gpt3.5,L,0.7,14,62
2,gpt3.5,L,0.7,15,62
2,gpt3.5,L,0.7,20,309
2,gpt3.5,L,0.7,22,62
2,gpt3.5,L,0.7,23,62
2,gpt3.5,L,0.7,24,666
2,gpt3.5,L,0.7,25,257
2,gpt3.5,L,0.7,26,14
2,gpt3.5,L,0.7,27,134
2,gpt3.5,L,0.7,29,77
2,gpt3.5,L,0.7,30,496
2,gpt3.5,L,0.7,34,176
2,gpt3.5,L,0.7,41,77
2,gpt3.5,L,0.7,45,62
2,gpt3.5,L,0.7,49,136
2,gpt3.5,L,0.7,57,62
2,gpt3.5,L,0.7,58,481
2,gpt3.5,L,0.7,59,62
2,gpt3.5,L,0.7,65,183
2,gpt3.5,L,0.7,67,417
2,gpt3.5,L,0.7,73,308
2,gpt3.5,L,0.7,78,465
2,gpt3.5,L,0.7,79,435
2,gpt3.5,L,0.7,84,840
2,gpt3.5,L,0.7,85,568
2,gpt3.5,L,0.7,92,62
2,gpt3.5,L,1.0,5,62
2,gpt3.5,L,1.0,7,658
2,gpt3.5,L,1.0,9,347
2,gpt3.5,L,1.0,12,62
2,gpt3.5,L,1.0,13,266
2,gpt3.5,L,1.0,14,62
2,gpt3.5,L,1.0,15,525
2,gpt3.5,L,1.0,16,62
2,gpt3.5,L,1.0,20,66
2,gpt3.5,L,1.0,21,14
2,gpt3.5,L,1.0,22,62
2,gpt3.5,L,1.0,23,111
2,gpt3.5,L,1.0,24,553
2,gpt3.5,L,1.0,25,401
2,gpt3.5,L,1.0,26,14
2,gpt3.5,L,1.0,27,66
2,gpt3.5,L,1.0,29,852
2,gpt3.5,L,1.0,30,228
2,gpt3.5,L,1.0,32,79
2,gpt3.5,L,1.0,34,428
2,gpt3.5,L,1.0,41,77
2,gpt3.5,L,1.0,45,62
2,gpt3.5,L,1.0,48,14
2,gpt3.5,L,1.0,49,62
2,gpt3.5,L,1.0,57,62
2,gpt3.5,L,1.0,58,353
2,gpt3.5,L,1.0,59,14
2,gpt3.5,L,1.0,60,14
2,gpt3.5,L,1.0,64,77
2,gpt3.5,L,1.0,65,78
2,gpt3.5,L,1.0,67,649
2,gpt3.5,L,1.0,70,62
2,gpt3.5,L,1.0,73,234
2,gpt3.5,L,1.0,78,476
2,gpt3.5,L,1.0,79,62
2,gpt3.5,L,1.0,81,744
2,gpt3.5,L,1.0,82,492
2,gpt3.5,L,1.0,84,817
2,gpt3.5,L,1.0,85,110
2,gpt3.5,L,1.0,87,14
2,gpt3.5,L,1.0,91,7
2,gpt3.5,L,1.0,92,62
2,gpt3.5,L,1.0,94,62
2,gpt3.5,M,0.7,10,278
2,gpt3.5,M,0.7,16,61
2,gpt3.5,M,0.7,39,62
2,gpt3.5,M,0.7,56,62
2,gpt3.5,M,1.0,5,132
2,gpt3.5,M,1.0,10,62
2,gpt3.5,M,1.0,16,61
2,gpt3.5,M,1.0,39,62
2,gpt3.5,M,1.0,48,14
2,gpt3.5,M,1.0,49,62
2,gpt3.5,M,1.0,56,62
2,gpt3.5,M,1.0,58,14
2,gpt3.5,M,1.0,64,77
2,gpt3.5,M,1.0,96,62
2,gpt3.5,H,0.5,31,14
2,gpt3.5,H,0.5,46,7
2,gpt3.5,H,0.7,2,61
2,gpt3.5,H,0.7,13,62
2,gpt3.5,H,0.7,31,14
2,gpt3.5,H,0.7,39,62
2,gpt3.5,H,0.7,46,7
2,gpt3.5,H,0.7,64,14
2,gpt3.5,H,0.7,71,14
2,gpt3.5,H,0.7,89,14
2,gpt3.5,H,1.0,2,61
2,gpt3.5,H,1.0,7,14
2,gpt3.5,H,1.0,13,73
2,gpt3.5,H,1.0,25,7
2,gpt3.5,H,1.0,28,66
2,gpt3.5,H,1.0,31,14
2,gpt3.5,H,1.0,39,62
2,gpt3.5,H,1.0,40,14
2,gpt3.5,H,1.0,46,7
2,gpt3.5,H,1.0,62,14
2,gpt3.5,H,1.0,64,14
2,gpt3.5,H,1.0,71,14
2,gpt3.5,H,1.0,89,14
2,gpt3.5,H,1.0,93,62
3,gpt3.5,L,0.5,5,62
3,gpt3.5,L,0.5,14,62
3,gpt3.5,L,0.5,41,10
3,gpt3.5,L,0.5,57,62
3,gpt3.5,L,0.7,5,62
3,gpt3.5,L,0.7,7,62
3,gpt3.5,L,0.7,14,10
3,gpt3.5,L,0.7,15,62
3,gpt3.5,L,0.7,20,10
3,gpt3.5,L,0.7,22,62
3,gpt3.5,L,0.7,23,639
3,gpt3.5,L,0.7,24,62
3,gpt3.5,L,0.7,25,62
3,gpt3.5,L,0.7,41,77
3,gpt3.5,L,0.7,57,62
3,gpt3.5,L,0.7,84,10
3,gpt3.5,L,0.7,85,62
3,gpt3.5,L,1.0,5,62
3,gpt3.5,L,1.0,7,398
3,gpt3.5,L,1.0,14,62
3,gpt3.5,L,1.0,15,93
3,gpt3.5,L,1.0,20,495
3,gpt3.5,L,1.0,22,390
3,gpt3.5,L,1.0,23,62
3,gpt3.5,L,1.0,24,399
3,gpt3.5,L,1.0,25,81
3,gpt3.5,L,1.0,26,15
3,gpt3.5,L,1.0,27,66
3,gpt3.5,L,1.0,29,288
3,gpt3.5,L,1.0,30,221
3,gpt3.5,L,1.0,32,68
3,gpt3.5,L,1.0,41,77
3,gpt3.5,L,1.0,57,591
3,gpt3.5,L,1.0,58,61
3,gpt3.5,L,1.0,59,14
3,gpt3.5,L,1.0,65,836
3,gpt3.5,L,1.0,73,213
3,gpt3.5,L,1.0,78,368
3,gpt3.5,L,1.0,79,159
3,gpt3.5,L,1.0,82,291
3,gpt3.5,L,1.0,84,111
3,gpt3.5,L,1.0,85,595
3,gpt3.5,L,1.0,92,473
3,gpt3.5,M,0.7,0,14
3,gpt3.5,M,0.7,55,364
3,gpt3.5,M,1.0,0,14
3,gpt3.5,M,1.0,18,176
3,gpt3.5,M,1.0,54,84
3,gpt3.5,M,1.0,55,268
3,gpt3.5,H,0.5,35,62
3,gpt3.5,H,0.5,48,14
3,gpt3.5,H,0.5,50,62
3,gpt3.5,H,0.7,19,62
3,gpt3.5,H,0.7,27,14
